BandNumber,Species,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
1207-72632,RT,I,,394,1220,30.3,34.5,234
1207-77633,RT,A,,358,1025,27.4,29,204
1177-04632,RT,I,,380,1000,26.9,29,204
1207-72634,RT,I,,397,1210,28.3,34,224
1207-72635,RT,I,,392,1185,28.5,33,229
1207-72636,RT,A,,406,NA,27,31.1,222
1177-04633,RT,I,,363,950,24.6,30.3,214
1177-04634,RT,I,,374,895,26.4,30.8,219
1177-04635,RT,I,,412,1150,27.8,33.2,230
1177-04636,RT,I,,388,950,26.5,32.2,230
1177-04637,RT,I,,371,990,26.9,29.7,217
1207-72637,RT,I,,391,1120,29,33.9,225
1207-72638,RT,I,F,410,1120,28.5,33.6,229
1177-04638,RT,I,,368,820,25.2,28.7,215
1177-04639,RT,I,F,410,1200,26.7,29.4,247
1207-74639,RT,A,F,425,1120,29.4,33.3,222
1177-04640,RT,I,,368,1120,24.7,30.8,220
1207-74640,RT,I,,392,1220,27.3,34.1,234
1207-72641,RT,I,,418,1310,29.1,31.9,248
1177-04641,RT,I,,370,920,26.8,29.7,221
1177-04642,RT,A,,370,955,26.5,30.5,218
1207-72642,RT,A,,408,1225,28.8,32.7,225
1207-72643,RT,A,,393,1400,27.9,35.3,215
1177-04643,RT,I,,365,1025,24.6,30.1,225
1207-72644,RT,I,,405,1140,28.2,31.9,244
1207-72645,RT,I,,381,1080,26.1,31.6,232
1177-04644,RT,I,,390,1135,27.6,31.1,238
1207-72646,RT,I,,384,1430,29.8,35,231
1177-04645,RT,I,,390,1050,25.6,29.9,218
1177-04646,RT,I,,381,920,27,29.6,223
1807-82702,RT,I,,371,905,23.6,26.8,197
1177-04647,RT,I,,356,915,26.4,28.9,195
1177-04648,RT,I,,377,910,25,29,206
1177-04649,RT,I,,362,950,25.4,29.7,213
1207-72647,RT,I,,400,1225,27.3,34.2,222
1207-72648,RT,I,,387,1090,27.9,32.4,227
1207-72649,RT,I,,409,1350,30,32.7,235
1177-04650,RT,I,,385,940,26.2,30.5,228
1807-82703,RT,I,,377,920,24.7,29.3,219
1177-04651,RT,I,,400,1190,29.4,33.3,231
1177-04652,RT,I,,363,915,25,28.3,209
1177-04653,RT,I,,403,1310,29.1,33.3,237
1177-04654,RT,I,,375,950,26.9,30.1,210
1177-04655,RT,I,,373,975,26.1,27.9,215
1177-04656,RT,I,,373,990,27.9,31,217
1177-04657,RT,A,,373,1270,26.5,29.6,207
1807-82704,RT,I,,354,960,26,31,211
1207-72650,RT,I,,394,1290,28.8,30.7,225
1177-04658,RT,I,,377,1045,26.9,31.5,223
1177-04659,RT,I,,364,1090,27.1,30.3,218
1177-04660,RT,I,,385,1180,28.6,30,222
1177-04661,RT,I,,390,1195,27.6,34.7,235
1177-04662,RT,A,,383,1055,27.7,32.7,208
1177-04663,RT,I,,365,1025,26.1,30.3,216
1177-04664,RT,I,,376,940,25.1,31.7,217
1207-72651,RT,A,,402,1335,28.3,33.3,219
1177-04665,RT,I,,394,1085,29.4,32.7,235
1177-04666,RT,A,,378,1090,28,30.9,212
1177-04667,RT,I,,369,995,26,28.2,211
1177-04668,RT,A,,378,1090,28,30.7,201
1177-04669,RT,A,,262,1020,28,31.2,200
1177-04670,RT,A,,379,1000,28.6,32.2,217
1177-04671,RT,I,,380,1085,27.4,33.3,223
1177-04672,RT,A,,380,1045,24.9,27,199
1177-04673,RT,I,,393,1060,27.7,32.4,217
1207-72652,RT,A,,389,1135,27.1,32.1,207
1207-72653,RT,I,,395,1210,28.5,28.5,222
1807-82705,RT,I,,367,965,24.8,24.1,217
1177-04674,RT,A,,368,905,26.8,27,200
1177-04675,RT,I,,377,1125,25.3,29.5,220
1177-04676,RT,I,,374,950,27.2,29.8,216
1177-04677,RT,A,,385,1195,27.3,30.9,216
1177-04698,RT,I,,363,1005,25,31.6,222
1177-04678,RT,I,,378,995,26.2,30,213
1207-72654,RT,I,,405,1170,29.25,39.8,226
1177-04679,RT,I,,392,1085,31.2,34.6,210
1207-72655,RT,I,,395,1115,27.4,32.7,235
1207-72656,RT,I,,390,1195,27.6,33,222
1207-72657,RT,A,,389,1165,29,33.1,223
1177-04680,RT,I,,378,235,25.4,30.7,223
1207-72658,RT,A,,385,1085,27.5,30.8,216
1177-04681,RT,I,,369,970,26.1,30.4,207
1177-04682,RT,I,,378,1030,28.5,31.9,218
1177-04683,RT,I,,373,1015,25.5,29.6,215
1177-04684,RT,A,,419,1030,29.2,31.5,224
1177-04685,RT,I,,414,1215,26.4,29.2,242
1177-04686,RT,I,,404,1170,28.4,32.8,237
1207-72659,RT,I,,379,1435,27.4,32.7,221
1207-72660 ,RT,I,,407,1235,30.1,35.8,243
1177-04689,RT,I,,376,1055,29.5,32.2,222
1177-04688,RT,I,,380,1105,22,30.8,208
1207-72661,RT,I,,408,1390,28.4,32.7,245
1177-04690,RT,A,,374,1080,26.5,31.3,206
1177-04691,RT,I,,376,910,26.1,32.2,220
1807-66307,RT,I,,370,845,25,27.4,217
1807-66308,RT,I,,363,865,25.6,27.3,210
1177-04692,RT,I,,372,2030,26.2,30.2,196
1807-66309,RT,A,,378,960,24.6,30,206
1177-04694,RT,I,,361,970,26.3,30.7,218
1177-04695,RT,A,,389,1265,26.6,30.6,210
1207-72662,RT,A,,404,1300,29.4,32.8,224
1177-04696,RT,A,,395,1170,25.8,30.5,218
1177-04697,RT,I,,368,1075,27.7,31.7,213
1177-04700,RT,I,,401,965,25.8,29.1,235
1807-53134,RT,I,,355,785,22.7,25,206
1177-04701,RT,A,,377,1095,25.6,31.7,206
1177-04702,RT,A,,277,1500,29.7,32.1,207
1207-72663,RT,A,,435,1595,27.4,34.5,230
1177-04703,RT,I,,372,985,25.4,31,224
