pclass,survived,age,fare,embarked,sex,,,,,,
1,1,52,93.5,S,1,,,,,,
1,0,42,42.5,S,0,,,,,,
1,0,,51.8625,S,0,,,,,,
1,0,55,50,C,0,,,,,,
1,1,16,57.9792,C,1,,,,,,
1,1,44,57.9792,S,1,,,,,,
1,1,51,77.9583,S,1,,,,,,
1,0,42,52,S,0,,,,,,
1,1,35,52,C,1,,,,,,
1,1,35,26.55,S,0,,,,,,
1,1,38,90,C,0,,,,,,
1,0,,30.6958,S,0,,,,,,
1,1,35,90,,1,,,,,,
1,1,38,80,C,1,,,,,,
1,0,50,28.7125,S,1,,,,,,
1,1,49,0,S,0,,,,,,
1,0,46,26,S,0,,,,,,
1,0,50,26,C,0,,,,,,
1,0,32.5,211.5,C,0,,,,,,
1,0,58,29.7,S,0,,,,,,
1,0,41,51.8625,S,0,,,,,,
1,1,,51.8625,S,1,,,,,,
1,1,42,52.5542,S,0,,,,,,
1,1,45,52.5542,S,1,,,,,,
1,0,,26.55,S,0,,,,,,
1,1,39,211.3375,S,1,,,,,,
1,1,49,25.9292,C,1,,,,,,
1,1,30,106.425,C,1,,,,,,
1,1,35,512.3292,C,0,,,,,,
1,0,,27.7208,S,0,,,,,,
1,0,42,26.55,C,0,,,,,,
1,1,55,27.7208,S,1,,,,,,
1,1,16,39.4,S,1,,,,,,
1,1,51,39.4,S,1,,,,,,
1,0,29,30,S,0,,,,,,
1,1,21,77.9583,S,1,,,,,,
1,0,30,45.5,C,0,,,,,,
1,1,58,146.5208,S,1,,,,,,
1,1,15,211.3375,S,1,,,,,,
1,0,30,26,S,0,,,,,,
1,1,16,86.5,C,1,,,,,,
1,1,,29.7,S,0,,,,,,
1,0,19,53.1,S,0,,,,,,
1,1,18,53.1,C,1,,,,,,
1,1,24,49.5042,C,1,,,,,,
1,0,46,75.2417,S,0,,,,,,
1,0,54,51.8625,S,0,,,,,,
1,1,36,26.2875,C,0,,,,,,
1,0,28,82.1708,C,0,,,,,,
1,1,,82.1708,S,1,,,,,,
1,0,65,26.55,Q,0,,,,,,
1,0,44,90,Q,0,,,,,,
1,1,33,90,Q,1,,,,,,
1,1,37,90,C,1,,,,,,
1,1,30,57.75,S,0,,,,,,
1,0,55,30.5,S,0,,,,,,
1,0,47,42.4,C,0,,,,,,
1,0,37,29.7,C,0,,,,,,
1,1,31,113.275,C,1,,,,,,
1,1,23,113.275,C,1,,,,,,
1,0,58,113.275,S,0,,,,,,
1,1,19,26.2833,S,1,,,,,,
1,0,64,26,C,0,,,,,,
1,1,39,108.9,C,1,,,,,,
1,1,,25.7417,C,0,,,,,,
1,1,22,61.9792,C,1,,,,,,
1,0,65,61.9792,C,0,,,,,,
1,0,28.5,27.7208,S,0,,,,,,
1,0,,0,S,0,,,,,,
1,0,45.5,28.5,S,0,,,,,,
1,0,23,93.5,S,0,,,,,,
1,0,29,66.6,S,0,,,,,,
1,1,22,66.6,C,1,,,,,,
1,0,18,108.9,C,0,,,,,,
1,1,17,108.9,S,1,,,,,,
1,1,30,93.5,S,1,,,,,,
1,1,52,30.5,S,0,,,,,,
1,0,47,52,C,0,,,,,,
1,1,56,83.1583,S,1,,,,,,
1,0,38,0,S,0,,,,,,
1,1,,39.6,C,0,,,,,,
1,0,22,135.6333,C,0,,,,,,
1,0,,227.525,S,0,,,,,,
1,1,43,211.3375,S,1,,,,,,
1,0,31,50.4958,S,0,,,,,,
1,1,45,26.55,S,0,,,,,,
1,0,,50,C,0,,,,,,
1,1,33,27.7208,C,1,,,,,,
1,0,46,79.2,C,0,,,,,,
1,0,36,40.125,S,0,,,,,,
1,1,33,86.5,C,1,,,,,,
1,0,55,59.4,C,0,,,,,,
1,1,54,59.4,S,1,,,,,,
1,0,33,26.55,C,0,,,,,,
1,1,13,262.375,C,0,,,,,,
1,1,18,262.375,C,1,,,,,,
1,1,21,262.375,C,1,,,,,,
1,0,61,262.375,C,0,,,,,,
1,1,48,262.375,S,1,,,,,,
1,1,,30.5,C,0,,,,,,
1,1,24,69.3,S,1,,,,,,
1,1,,26,C,0,,,,,,
1,1,35,57.75,C,1,,,,,,
1,1,30,31,S,1,,,,,,
1,1,34,26.55,S,0,,,,,,
1,1,40,153.4625,S,1,,,,,,
1,1,35,26.2875,S,0,,,,,,
1,0,50,55.9,S,0,,,,,,
1,1,39,55.9,C,1,,,,,,
1,1,56,35.5,S,0,,,,,,
1,1,28,35.5,S,0,,,,,,
1,0,56,26.55,C,0,,,,,,
1,0,56,30.6958,S,0,,,,,,
1,0,24,60,S,0,,,,,,
1,0,,26,S,0,,,,,,
1,1,18,60,S,1,,,,,,
1,1,24,82.2667,S,0,,,,,,
1,1,23,82.2667,C,1,,,,,,
1,1,6,134.5,C,0,,,,,,
1,1,45,134.5,C,0,,,,,,
1,1,40,134.5,C,1,,,,,,
1,0,57,146.5208,C,0,,,,,,
1,1,,146.5208,C,1,,,,,,
1,1,32,30.5,S,0,,,,,,
1,0,62,26.55,C,0,,,,,,
1,1,54,55.4417,C,0,,,,,,
1,1,43,55.4417,C,1,,,,,,
1,1,52,78.2667,C,1,,,,,,
1,0,,27.7208,,0,,,,,,
1,1,62,80,S,1,,,,,,
1,0,67,221.7792,S,0,,,,,,
1,0,63,221.7792,S,1,,,,,,
1,0,61,32.3208,S,0,,,,,,
1,1,48,25.9292,S,1,,,,,,
1,1,18,79.65,S,1,,,,,,
1,0,52,79.65,S,0,,,,,,
1,1,39,79.65,S,1,,,,,,
1,1,48,52,S,0,,,,,,
1,1,,52,C,1,,,,,,
1,0,49,110.8833,C,0,,,,,,
1,1,17,110.8833,C,0,,,,,,
1,1,39,110.8833,C,1,,,,,,
1,1,,79.2,C,1,,,,,,
1,1,31,28.5375,C,0,,,,,,
1,0,40,27.7208,S,0,,,,,,
1,0,61,33.5,S,0,,,,,,
1,0,47,34.0208,C,0,,,,,,
1,1,35,512.3292,C,1,,,,,,
1,0,64,75.25,C,0,,,,,,
1,1,60,75.25,S,1,,,,,,
1,0,60,26.55,S,0,,,,,,
1,0,54,77.2875,S,0,,,,,,
1,0,21,77.2875,C,0,,,,,,
1,1,55,135.6333,S,1,,,,,,
1,1,31,164.8667,S,1,,,,,,
1,0,57,164.8667,S,0,,,,,,
1,1,45,164.8667,C,1,,,,,,
1,0,50,211.5,C,0,,,,,,
1,0,27,211.5,C,0,,,,,,
1,1,50,211.5,S,1,,,,,,
1,1,21,26.55,C,1,,,,,,
1,0,51,61.3792,C,0,,,,,,
1,1,21,61.3792,S,0,,,,,,
1,0,,35,C,0,,,,,,
1,1,31,134.5,S,1,,,,,,
1,1,,35.5,S,0,,,,,,
1,0,62,26.55,C,0,,,,,,
1,1,36,135.6333,C,1,,,,,,
2,0,30,24,C,0,,,,,,
2,1,28,24,S,1,,,,,,
2,0,30,13,S,0,,,,,,
2,0,18,11.5,S,0,,,,,,
2,0,25,10.5,S,0,,,,,,
2,0,34,26,S,0,,,,,,
2,1,36,26,S,1,,,,,,
2,0,57,13,S,0,,,,,,
2,0,18,11.5,S,0,,,,,,
2,0,23,10.5,S,0,,,,,,
2,1,36,13,S,1,,,,,,
2,0,28,10.5,S,0,,,,,,
2,0,51,12.525,S,0,,,,,,
2,1,32,26,S,0,,,,,,
2,1,19,26,S,1,,,,,,
2,0,28,26,S,0,,,,,,
2,1,1,39,S,0,,,,,,
2,1,4,39,S,1,,,,,,
2,1,12,39,S,1,,,,,,
2,1,36,39,S,1,,,,,,
2,1,34,13,S,0,,,,,,
2,1,19,13,S,1,,,,,,
2,0,23,13,S,0,,,,,,
2,0,26,13,S,0,,,,,,
2,0,42,13,S,0,,,,,,
2,0,27,13,S,0,,,,,,
2,1,24,13,S,1,,,,,,
2,1,15,39,S,1,,,,,,
2,0,60,39,S,0,,,,,,
2,1,40,39,S,1,,,,,,
2,1,20,26,S,1,,,,,,
2,0,25,26,S,0,,,,,,
2,1,36,13,S,1,,,,,,
2,0,25,13,S,0,,,,,,
2,0,42,13,S,0,,,,,,
2,1,42,13,S,1,,,,,,
2,1,0.8333,29,S,0,,,,,,
2,1,26,29,S,0,,,,,,
2,1,22,29,S,1,,,,,,
2,1,35,21,S,1,,,,,,
2,0,,0,S,0,,,,,,
2,0,19,13,S,0,,,,,,
2,0,44,26,S,1,,,,,,
2,0,54,26,S,0,,,,,,
2,0,52,13.5,S,0,,,,,,
2,0,37,26,S,0,,,,,,
2,0,29,26,S,1,,,,,,
2,1,25,30,S,1,,,,,,
2,1,45,30,S,1,,,,,,
2,0,29,26,S,0,,,,,,
2,1,28,26,S,1,,,,,,
2,0,29,10.5,S,0,,,,,,
2,0,28,13,S,0,,,,,,
2,1,24,10.5,S,0,,,,,,
2,1,8,26.25,S,1,,,,,,
2,0,31,26.25,S,0,,,,,,
2,1,31,26.25,S,1,,,,,,
2,1,22,10.5,S,1,,,,,,
2,0,30,13,S,1,,,,,,
2,0,,21,S,1,,,,,,
2,0,21,11.5,S,0,,,,,,
2,0,,0,S,0,,,,,,
2,1,8,36.75,S,0,,,,,,
2,0,18,73.5,S,0,,,,,,
2,1,48,36.75,S,1,,,,,,
2,1,28,13,S,1,,,,,,
2,0,32,13,S,0,,,,,,
2,0,17,73.5,C,0,,,,,,
2,0,29,27.7208,C,0,,,,,,
2,1,24,27.7208,S,1,,,,,,
2,0,25,31.5,S,0,,,,,,
2,0,18,73.5,S,0,,,,,,
2,1,18,23,S,1,,,,,,
2,1,34,23,S,1,,,,,,
2,0,54,26,S,0,,,,,,
2,1,8,32.5,S,0,,,,,,
2,0,42,32.5,S,0,,,,,,
2,1,34,32.5,C,1,,,,,,
2,1,27,13.8583,C,1,,,,,,
2,1,30,13.8583,S,1,,,,,,
2,0,23,13,S,0,,,,,,
2,0,21,13,S,0,,,,,,
2,0,18,13,S,0,,,,,,
2,0,40,26,S,0,,,,,,
2,1,29,26,S,1,,,,,,
2,0,18,10.5,S,0,,,,,,
2,0,36,13,S,0,,,,,,
2,0,,0,S,0,,,,,,
2,0,38,13,S,1,,,,,,
2,0,35,26,S,0,,,,,,
2,0,38,21,S,0,,,,,,
2,0,34,21,S,0,,,,,,
2,1,34,13,S,1,,,,,,
2,0,16,26,S,0,,,,,,
2,0,26,10.5,S,0,,,,,,
2,0,47,10.5,S,0,,,,,,
2,0,21,11.5,S,0,,,,,,
2,0,21,11.5,S,0,,,,,,
2,0,24,13.5,S,0,,,,,,
2,0,24,13,S,0,,,,,,
2,0,34,13,S,0,,,,,,
2,0,30,13,S,0,,,,,,
2,0,52,13,S,0,,,,,,
2,0,30,13,S,0,,,,,,
2,1,0.6667,14.5,S,0,,,,,,
2,1,24,14.5,S,1,,,,,,
2,0,44,13,S,0,,,,,,
2,1,6,33,S,1,,,,,,
2,0,28,33,S,0,,,,,,
2,1,62,10.5,S,0,,,,,,
2,0,30,10.5,S,0,,,,,,
2,1,7,26.25,S,1,,,,,,
2,0,43,26.25,S,0,,,,,,
2,1,45,26.25,S,1,,,,,,
2,1,24,65,S,1,,,,,,
2,1,24,65,S,1,,,,,,
2,0,49,65,S,0,,,,,,
2,1,48,65,S,1,,,,,,
2,1,55,16,S,1,,,,,,
2,0,24,73.5,S,0,,,,,,
2,0,32,73.5,S,0,,,,,,
2,0,21,73.5,S,0,,,,,,
2,0,18,13,S,1,,,,,,
2,1,20,23,S,1,,,,,,
2,0,23,11.5,S,0,,,,,,
2,0,36,13,S,0,,,,,,
2,1,54,23,S,1,,,,,,
2,0,50,13,S,0,,,,,,
2,0,44,26,S,0,,,,,,
2,1,29,26,S,1,,,,,,
2,0,21,73.5,S,0,,,,,,
2,1,42,13,S,0,,,,,,
2,0,63,26,S,0,,,,,,
2,0,60,26,S,1,,,,,,
2,0,33,12.275,S,0,,,,,,
2,1,17,10.5,S,1,,,,,,
2,0,42,27,S,0,,,,,,
2,1,24,27,S,1,,,,,,
2,0,47,15,S,0,,,,,,
2,0,24,31.5,S,0,,,,,,
2,0,22,31.5,S,0,,,,,,
2,0,32,10.5,C,0,,,,,,
2,1,23,13.7917,S,1,,,,,,
2,0,34,26,S,0,,,,,,
2,1,24,26,S,1,,,,,,
2,0,22,21,Q,1,,,,,,
2,1,,12.35,Q,1,,,,,,
2,0,35,12.35,S,0,,,,,,
2,1,45,13.5,Q,1,,,,,,
2,0,57,12.35,S,0,,,,,,
2,0,,0,S,0,,,,,,
2,0,31,10.5,S,0,,,,,,
2,0,26,26,S,1,,,,,,
2,0,30,26,Q,0,,,,,,
2,0,,10.7083,C,0,,,,,,
2,1,1,41.5792,C,1,,,,,,
2,1,3,41.5792,C,1,,,,,,
2,0,25,41.5792,C,0,,,,,,
2,1,22,41.5792,C,1,,,,,,
2,1,17,12,S,1,,,,,,
2,1,,33,S,1,,,,,,
2,1,34,10.5,C,1,,,,,,
2,0,36,12.875,S,0,,,,,,
2,0,24,10.5,Q,0,,,,,,
2,0,61,12.35,S,0,,,,,,
2,0,50,26,S,0,,,,,,
2,1,42,26,S,1,,,,,,
2,0,57,10.5,C,1,,,,,,
2,0,,15.0458,C,0,,,,,,
2,1,1,37.0042,C,0,,,,,,
2,0,31,37.0042,C,0,,,,,,
2,1,24,37.0042,C,1,,,,,,
2,0,,15.5792,S,0,,,,,,
2,0,30,13,S,0,,,,,,
2,0,40,16,S,0,,,,,,
2,0,32,13.5,S,0,,,,,,
2,0,30,13,S,0,,,,,,
2,0,46,26,S,0,,,,,,
2,1,13,19.5,S,1,,,,,,
2,1,41,19.5,S,1,,,,,,
2,1,19,10.5,S,0,,,,,,
2,0,39,13,S,0,,,,,,
2,0,48,13,S,0,,,,,,
2,0,70,10.5,S,0,,,,,,
2,0,27,13,S,0,,,,,,
2,0,54,14,S,0,,,,,,
2,0,39,26,S,0,,,,,,
2,0,16,10.5,Q,0,,,,,,
2,0,62,9.6875,C,0,,,,,,
2,0,32.5,30.0708,C,0,,,,,,
2,1,14,30.0708,S,1,,,,,,
2,1,2,26,S,0,,,,,,
2,1,3,26,S,0,,,,,,
2,0,36.5,26,S,0,,,,,,
2,0,26,13,S,0,,,,,,
2,0,19,36.75,S,0,,,,,,
2,0,28,13.5,C,0,,,,,,
2,1,20,13.8625,S,0,,,,,,
2,1,29,10.5,S,1,,,,,,
2,0,39,13,S,0,,,,,,
2,1,22,10.5,C,0,,,,,,
2,1,,13.8625,S,0,,,,,,
2,0,23,10.5,C,0,,,,,,
2,1,29,13.8583,S,0,,,,,,
2,0,28,10.5,S,0,,,,,,
2,0,,0,S,0,,,,,,
2,1,50,26,S,1,,,,,,
2,0,19,10.5,C,0,,,,,,
2,0,,15.05,S,0,,,,,,
2,0,41,13,S,0,,,,,,
2,1,21,21,S,1,,,,,,
2,1,19,26,S,1,,,,,,
2,0,43,21,S,0,,,,,,
2,1,32,13,S,1,,,,,,
2,0,34,13,C,0,,,,,,
2,1,30,12.7375,C,0,,,,,,
2,0,27,15.0333,S,0,,,,,,
2,1,2,26,S,1,,,,,,
2,1,8,26,S,1,,,,,,
2,1,33,26,S,1,,,,,,
2,0,36,10.5,S,0,,,,,,
2,0,34,21,S,0,,,,,,
2,1,30,21,S,1,,,,,,
2,1,28,13,C,1,,,,,,
2,0,23,15.0458,S,0,,,,,,
2,1,0.8333,18.75,S,0,,,,,,
2,1,3,18.75,S,0,,,,,,
2,1,24,18.75,S,1,,,,,,
2,1,50,10.5,S,1,,,,,,
2,0,19,10.5,S,0,,,,,,
2,1,21,10.5,S,1,,,,,,
2,0,26,13,S,0,,,,,,
2,0,25,13,S,0,,,,,,
2,0,27,26,S,0,,,,,,
2,1,25,26,S,1,,,,,,
2,1,18,13,S,1,,,,,,
2,1,20,36.75,S,1,,,,,,
2,1,30,13,S,1,,,,,,
2,0,59,13.5,Q,0,,,,,,
2,1,30,12.35,S,1,,,,,,
2,0,35,10.5,S,0,,,,,,
2,1,40,13,S,1,,,,,,
2,0,25,13,C,0,,,,,,
2,0,41,15.0458,S,0,,,,,,
2,0,25,10.5,S,0,,,,,,
2,0,18.5,13,S,0,,,,,,
2,0,14,65,S,0,,,,,,
2,1,50,10.5,S,1,,,,,,
2,0,23,13,S,0,,,,,,
2,1,28,12.65,S,1,,,,,,
2,1,27,10.5,S,1,,,,,,
2,0,29,21,S,0,,,,,,
2,0,27,21,S,1,,,,,,
2,0,40,13,S,0,,,,,,
2,1,31,21,S,1,,,,,,
2,0,30,21,S,0,,,,,,
2,0,23,10.5,S,0,,,,,,
2,1,31,21,S,1,,,,,,
2,0,,0,S,0,,,,,,
2,1,12,15.75,S,1,,,,,,
2,1,40,15.75,S,1,,,,,,
2,1,32.5,13,S,1,,,,,,
2,0,27,26,S,0,,,,,,
2,1,29,26,S,1,,,,,,
2,1,2,23,S,0,,,,,,
2,1,4,23,S,1,,,,,,
2,1,29,23,S,1,,,,,,
2,1,0.9167,27.75,S,1,,,,,,
2,1,5,27.75,S,1,,,,,,
2,0,36,27.75,S,0,,,,,,
2,1,33,27.75,S,1,,,,,,
2,0,66,10.5,S,0,,,,,,
2,0,,12.875,S,0,,,,,,
2,1,31,13,S,0,,,,,,
2,1,,13,S,0,,,,,,
2,1,26,13.5,S,1,,,,,,
2,0,24,13,S,1,,,,,,
3,0,42,7.55,S,0,,,,,,
3,0,13,20.25,S,0,,,,,,
3,0,16,20.25,S,0,,,,,,
3,1,35,20.25,S,1,,,,,,
3,1,16,7.65,S,1,,,,,,
3,1,25,7.65,S,0,,,,,,
3,1,20,7.925,C,0,,,,,,
3,1,18,7.2292,S,1,,,,,,
3,0,30,7.25,S,0,,,,,,
3,0,26,8.05,S,0,,,,,,
3,0,40,9.475,S,1,,,,,,
3,1,0.8333,9.35,S,0,,,,,,
3,1,18,9.35,C,1,,,,,,
3,1,26,18.7875,S,0,,,,,,
3,0,26,7.8875,S,0,,,,,,
3,0,20,7.925,S,0,,,,,,
3,0,24,7.05,S,0,,,,,,
3,0,25,7.05,S,0,,,,,,
3,0,35,8.05,S,0,,,,,,
3,0,18,8.3,S,0,,,,,,
3,0,32,22.525,S,0,,,,,,
3,1,19,7.8542,S,1,,,,,,
3,0,4,31.275,S,0,,,,,,
3,0,6,31.275,S,1,,,,,,
3,0,2,31.275,S,1,,,,,,
3,1,17,7.925,S,1,,,,,,
3,0,38,7.775,S,1,,,,,,
3,0,9,31.275,S,1,,,,,,
3,0,11,31.275,S,1,,,,,,
3,0,39,31.275,S,0,,,,,,
3,1,27,7.7958,S,0,,,,,,
3,0,26,7.775,S,0,,,,,,
3,0,39,31.275,S,1,,,,,,
3,0,20,7.8542,S,0,,,,,,
3,0,26,7.8958,S,0,,,,,,
3,0,25,17.8,S,0,,,,,,
3,0,18,17.8,S,1,,,,,,
3,0,24,7.775,S,0,,,,,,
3,0,35,7.05,S,0,,,,,,
3,0,5,31.3875,S,0,,,,,,
3,0,9,31.3875,S,0,,,,,,
3,1,3,31.3875,S,0,,,,,,
3,0,13,31.3875,S,0,,,,,,
3,1,5,31.3875,S,1,,,,,,
3,0,40,31.3875,S,0,,,,,,
3,1,23,7.7958,S,0,,,,,,
3,1,38,31.3875,C,1,,,,,,
3,1,45,7.225,C,1,,,,,,
3,0,21,7.225,S,0,,,,,,
3,0,23,7.05,C,0,,,,,,
3,0,17,14.4583,C,1,,,,,,
3,0,30,7.225,S,0,,,,,,
3,0,23,7.8542,C,0,,,,,,
3,1,13,7.2292,C,1,,,,,,
3,0,20,7.225,S,0,,,,,,
3,0,32,15.85,S,0,,,,,,
3,1,33,15.85,C,1,,,,,,
3,1,0.75,19.2583,C,1,,,,,,
3,1,0.75,19.2583,C,1,,,,,,
3,1,5,19.2583,C,1,,,,,,
3,1,24,19.2583,S,1,,,,,,
3,1,18,8.05,C,1,,,,,,
3,0,40,7.225,S,0,,,,,,
3,0,26,7.8958,C,0,,,,,,
3,1,20,7.2292,C,0,,,,,,
3,0,18,14.4542,C,1,,,,,,
3,0,45,14.4542,Q,1,,,,,,
3,0,27,7.8792,S,1,,,,,,
3,0,22,8.05,S,0,,,,,,
3,0,19,8.05,S,0,,,,,,
3,0,26,7.775,S,0,,,,,,
3,0,22,9.35,C,0,,,,,,
3,0,,7.2292,C,0,,,,,,
3,0,20,4.0125,S,0,,,,,,
3,1,32,56.4958,S,0,,,,,,
3,0,21,7.775,S,0,,,,,,
3,0,18,7.75,S,0,,,,,,
3,0,26,7.8958,C,0,,,,,,
3,0,6,15.2458,C,0,,,,,,
3,0,9,15.2458,C,1,,,,,,
3,0,,7.225,C,0,,,,,,
3,0,,15.2458,Q,1,,,,,,
3,0,,7.75,Q,1,,,,,,
3,0,40,15.5,Q,0,,,,,,
3,0,32,15.5,S,1,,,,,,
3,0,21,16.1,Q,0,,,,,,
3,1,22,7.725,S,1,,,,,,
3,0,20,7.8542,S,1,,,,,,
3,0,29,7.0458,S,0,,,,,,
3,0,22,7.25,S,0,,,,,,
3,0,22,7.7958,S,0,,,,,,
3,0,35,8.05,Q,0,,,,,,
3,0,18.5,7.2833,Q,1,,,,,,
3,1,21,7.8208,Q,0,,,,,,
3,0,19,6.75,Q,0,,,,,,
3,0,18,7.8792,S,1,,,,,,
3,0,21,8.6625,S,1,,,,,,
3,0,30,8.6625,S,1,,,,,,
3,0,18,8.6625,S,0,,,,,,
3,0,38,8.6625,S,0,,,,,,
3,0,17,8.6625,S,0,,,,,,
3,0,17,8.6625,Q,0,,,,,,
3,0,21,7.75,Q,1,,,,,,
3,0,21,7.75,S,0,,,,,,
3,0,21,8.05,C,0,,,,,,
