Serial No,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,y=Chance of Admit 
241,296,101,1,25,3,768,0,6
242,317,103,2,25,2,815,0,65
243,324,115,3,35,3,876,1,7
244,325,114,3,35,3,904,1,76
245,314,107,2,25,4,856,0,63
246,328,110,4,4,25,902,1,81
247,316,105,3,3,35,873,0,72
248,311,104,2,25,35,848,0,71
249,324,110,3,35,4,887,1,8
250,321,111,3,35,4,883,1,77
251,320,104,3,3,25,857,1,74
252,316,99,2,25,3,9,0,7
253,318,100,2,25,35,854,1,71
254,335,115,4,45,45,968,1,93
255,321,114,4,4,5,912,0,85
256,307,110,4,4,45,837,0,79
257,309,99,3,4,4,856,0,76
258,324,100,3,4,5,864,1,78
259,326,102,4,5,5,876,1,77
260,331,119,4,5,45,934,1,9
261,327,108,5,5,35,913,1,87
262,312,104,3,35,4,809,0,71
263,308,103,2,25,4,836,1,7
264,324,111,3,25,15,879,1,7
265,325,110,2,3,25,876,1,75
266,313,102,3,25,25,868,0,71
267,312,105,2,2,25,845,0,72
268,314,107,3,3,35,817,1,73
269,327,113,4,45,5,914,0,83
270,308,108,4,45,5,834,0,77
271,306,105,2,25,3,822,1,72
272,299,96,2,15,2,786,0,54
273,294,95,1,15,15,764,0,49
274,312,99,1,1,15,801,1,52
275,315,100,1,2,25,795,0,58
276,322,110,3,35,3,896,1,78
277,329,113,5,5,45,945,1,89
278,320,101,2,25,3,862,0,7
279,308,103,2,3,35,849,0,66
280,304,102,2,3,4,873,0,67
281,311,102,3,45,4,864,1,68
282,317,110,3,4,45,911,1,8
283,312,106,3,4,35,879,1,81
284,321,111,3,25,3,89,1,8
285,340,112,4,5,45,966,1,94
286,331,116,5,4,4,926,1,93
287,336,118,5,45,4,919,1,92
288,324,114,5,5,45,908,1,89
289,314,104,4,5,5,902,0,82
290,313,109,3,4,35,9,0,79
291,307,105,2,25,3,765,0,58
292,300,102,2,15,2,787,0,56
293,302,99,2,1,2,797,0,56
294,312,98,1,35,3,818,1,64
295,316,101,2,25,2,832,1,61
296,317,100,2,3,25,857,0,68
297,310,107,3,35,35,867,0,76
298,320,120,3,4,45,911,0,86
299,330,114,3,45,45,924,1,9
300,305,112,3,3,35,865,0,71
301,309,106,2,25,25,8,0,62
302,319,108,2,25,3,876,0,66
303,322,105,2,3,3,845,1,65
304,323,107,3,35,35,855,1,73
305,313,106,2,25,2,843,0,62
306,321,109,3,35,35,88,1,74
307,323,110,3,4,35,91,1,79
308,325,112,4,4,4,9,1,8
309,312,108,3,35,3,853,0,69
310,308,110,4,35,3,86,0,7
311,320,104,3,3,35,874,1,76
312,328,108,4,45,4,918,1,84
313,311,107,4,45,45,9,1,78
314,301,100,3,35,3,804,0,67
315,305,105,2,3,4,813,0,66
316,308,104,2,25,3,807,0,65
317,298,101,2,15,2,786,0,54
318,300,99,1,1,25,801,0,58
319,324,111,3,25,2,88,1,79
320,327,113,4,35,3,869,1,8
321,317,106,3,4,35,85,1,75
322,323,104,3,4,4,844,1,73
323,314,107,2,25,4,827,0,72
324,305,102,2,2,25,818,0,62
325,315,104,3,3,25,833,0,67
326,326,116,3,35,4,914,1,81
327,299,100,3,2,2,802,0,63
328,295,101,2,25,2,786,0,69
329,324,112,4,4,35,877,1,8
330,297,96,2,25,15,789,0,43
331,327,113,3,35,3,866,1,8
332,311,105,2,3,2,812,1,73
333,308,106,3,35,25,821,1,75
334,319,108,3,3,35,854,1,71
335,312,107,4,45,4,865,1,73
336,325,111,4,4,45,911,1,83
337,319,110,3,3,25,879,0,72
338,332,118,5,5,5,947,1,94
339,323,108,5,4,4,874,1,81
340,324,107,5,35,4,866,1,81
341,312,107,3,3,3,846,1,75
342,326,110,3,35,35,876,1,79
343,308,106,3,3,3,824,0,58
344,305,103,2,25,35,813,0,59
345,295,96,2,15,2,734,0,47
346,316,98,1,15,2,743,0,49
347,304,97,2,15,2,764,0,47
348,299,94,1,1,1,734,0,42
349,302,99,1,2,2,725,0,57
350,313,101,3,25,3,804,0,62
351,318,107,3,3,35,827,1,74
352,325,110,4,35,4,867,1,73
353,303,100,2,3,35,806,1,64
354,300,102,3,35,25,817,0,63
355,297,98,2,25,3,767,0,59
356,317,106,2,2,35,812,0,73
357,327,109,3,35,4,877,1,79
358,301,104,2,35,35,789,1,68
359,314,105,2,25,2,764,0,7
360,321,107,2,2,15,844,0,81
361,322,110,3,4,5,864,1,85
362,334,116,4,4,35,954,1,93
363,338,115,5,45,5,923,1,91
364,306,103,2,25,3,836,0,69
365,313,102,3,35,4,89,1,77
366,330,114,4,45,3,917,1,86
367,320,104,3,35,45,834,1,74
368,311,98,1,1,25,746,0,57
369,298,92,1,2,2,788,0,51
370,301,98,1,2,3,803,1,67
371,310,103,2,25,25,824,0,72
372,324,110,3,35,3,922,1,89
373,336,119,4,45,4,962,1,95
374,321,109,3,3,3,854,1,79
375,315,105,2,2,25,765,0,39
376,304,101,2,2,25,766,0,38
377,297,96,2,25,2,743,0,34
378,290,100,1,15,2,756,0,47
379,303,98,1,2,25,765,0,56
380,311,99,1,25,3,843,1,71
381,322,104,3,35,4,884,1,78
382,319,105,3,3,35,867,1,73
383,324,110,4,45,4,915,1,82
384,300,100,3,3,35,826,0,62
385,340,113,4,5,5,974,1,96
386,335,117,5,5,5,982,1,96
387,302,101,2,25,35,796,0,46
388,307,105,2,2,35,81,0,53
389,296,97,2,15,2,78,0,49
390,320,108,3,35,4,844,1,76
391,314,102,2,2,25,824,0,64
392,318,106,3,2,3,865,0,71
393,326,112,4,4,35,912,1,84
394,317,104,2,3,3,876,0,77
395,329,111,4,45,4,923,1,89
396,324,110,3,35,35,904,1,82
397,325,107,3,3,35,911,1,84
398,330,116,4,5,45,945,1,91
399,312,103,3,35,4,878,0,67
400,333,117,4,5,4,966,1,95
